1000    17101    17098 17085    16225 16633 16862 16979  17194 17304 17556 18029    15062 19493    155421 394
1000    17201    17197 17183    16320 16732 16963 17077  17294 17410 17655 18131    15168 19568    156899 396
1000    17301    17297 17284    16419 16828 17059 17176  17397 17509 17757 18238    15220 19587    158533 398
1000    17401    17397 17384    16518 16927 17159 17273  17497 17617 17856 18340    15279 19703    160337 400
1000    17501    17497 17484    16615 17026 17258 17373  17598 17719 17954 18443    15452 19771    161912 402
1000    17601    17597 17581    16710 17121 17352 17471  17697 17820 18064 18555    15573 19912    163303 404
1000    17701    17698 17685    16800 17221 17454 17572  17798 17923 18165 18664    15580 20026    164327 405
1000    17801    17797 17786    16895 17321 17550 17670  17900 18019 18267 18762    15593 20189    166646 408
1000    17901    17898 17887    16995 17420 17648 17771  18002 18119 18369 18871    15656 20423    168178 410
1000    18001    17998 17986    17084 17515 17747 17867  18102 18218 18475 18980    15738 20588    170470 412
1000    18101    18098 18086    17177 17611 17844 17966  18208 18327 18575 19086    15829 20608    172643 415
1000    18201    18198 18183    17279 17709 17944 18066  18305 18428 18687 19185    16004 20662    174499 417
1000    18301    18298 18286    17367 17805 18046 18164  18407 18526 18783 19295    16073 20732    176100 419
1000    18401    18398 18384    17457 17905 18142 18263  18513 18633 18889 19391    16199 20828    177751 421
1000    18501    18498 18485    17554 18004 18242 18361  18604 18732 18990 19500    16256 20841    179757 423
1000    18601    18598 18586    17655 18100 18340 18462  18708 18832 19091 19597    16459 20939    182039 426
1000    18701    18699 18688    17752 18197 18441 18561  18816 18934 19194 19708    16521 21002    183985 428
1000    18801    18800 18786    17850 18297 18537 18659  18912 19037 19295 19810    16606 21181    186012 431
1000    18901    18899 18888    17943 18397 18638 18759  19010 19134 19398 19902    16643 21222    187323 432
1000    19001    19000 18987    18041 18491 18736 18858  19110 19235 19502 20018    16790 21264    189476 435
1000    19101    19098 19086    18132 18589 18835 18958  19210 19340 19604 20121    16887 21364    190881 436
1000    19201    19198 19186    18219 18686 18931 19059  19310 19440 19706 20232    17004 21542    192433 438
1000    19301    19299 19280    18327 18783 19034 19157  19410 19543 19810 20344    17206 21585    195130 441
1000    19401    19399 19378    18410 18883 19135 19257  19515 19646 19912 20447    17251 21636    197104 443
1000    19501    19499 19478    18505 18975 19231 19350  19611 19746 20019 20546    17292 21716    198778 445
1000    19601    19599 19577    18606 19073 19326 19454  19711 19847 20121 20650    17401 21858    200433 447
1000    19701    19699 19679    18700 19170 19427 19552  19810 19950 20224 20761    17483 22087    203234 450
1000    19801    19799 19781    18795 19270 19525 19648  19913 20050 20325 20871    17527 22198    205299 453
1000    19901    19899 19882    18888 19372 19621 19749  20014 20148 20429 20975    17533 22281    208115 456


# Final approximations
17662
17748
17836
17846
17931
17933
17993
18070
18070
18091
18102
18109
18110
18139
18141
18151
18169
18180
18184
18188
18191
18194
18206
18206
18213
18216
18216
18218
18257
18261
18262
18268
18279
18303
18304
18309
18310
18310
18314
18325
18329
18347
18355
18358
18362
18362
18381
18382
18389
18391
18394
18394
18402
18411
